pointer, money, price, salary, sales, production, storage, workers, labor_capacity, plan, profit, time
05868480, 100, 2, 10, 200, 100, 0, 20, 20, 200, 0, 0
05868568, 100, 2, 10, 200, 100, 0, 20, 20, 200, 0, 0
05868A08, 100, 2, 10, 200, 100, 0, 20, 20, 200, 0, 0
05868AF0, 100, 2, 10, 200, 100, 0, 20, 20, 200, 0, 0
05868BD8, 100, 2, 10, 200, 100, 0, 20, 20, 200, 0, 0
05868480, 100, 44.4648, 11.598, 101, 150, 147.729, 30, 30, 150, -246.939, 1
05868568, 100, 44.4648, 11.598, 138.875, 150, 146.877, 30, 30, 150, -209.064, 1
05868A08, 100, 44.4648, 11.598, 101, 150, 147.729, 30, 30, 150, -246.939, 1
05868AF0, 100, 44.4648, 11.598, 63.125, 150, 148.58, 30, 30, 150, -284.814, 1
05868BD8, 100, 44.4648, 11.598, 75.75, 150, 148.296, 30, 30, 150, -272.189, 1
